[Trigger - (0)language; (1)Loacation; (2)boss; (3)emote,de-buff or ability; (4)text to search; (5)text to speech;
(6)timer; (7)countdown; (8)timeout (the trigger will be ignored for the specified time);
(9)number of events before the trigger fires; (10)depending on other triggers; (11)timer and countdown reset]

trigger = ger; MoM; Pagura; ability; Pagura -> Curse; curse; 0; 0; 5; 0; 0; 0
trigger = ger; MoM; Pagura; ability; Pagura -> Fluch der Vier; 5 seconds left; 46; 51; 240; 0; 0; 0
trigger = ger; MoM; Pagura; ability; Pagura -> Fluch der Fünf; 5 seconds left; 42; 47; 240; 0; 0; 0
trigger = ger; MoM; Pagura; ability; Pagura -> Nervenzwicken; tank swap; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Pagura; ability; Pagura -> Überspringende Ansteckung; leap; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Pagura; ability; Pagura -> Markerschütterndes Gebrüll; 5 seconds left; 65; 70; 0; 0; 0; 0
trigger = ger; MoM; Pagura; ability; Pagura -> Markerschütterndes Gebrüll; Ice Soul; 0; 17; 0; 0; 0; 0
trigger = ger; MoM; Pagura; ability; Schmerzbringer -> $player; $player run out; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Pagura; debuff; $player <- Okadainvergiftung; $player run out; 0; 0; 0; 0; 0; 0

trigger = ger; MoM; Fürst Arak; debuff; <- Finale Sedierung; cleanse; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Fürst Arak; debuff; $player <- Fragmentierung; tank swap; 0; 0; 0; 3; 0; 0
trigger = ger; MoM; Fürst Arak; ability; $player <- remove Fragmentierung; tank swap!; 0; 0; 0; -3; 0; 0
trigger = ger; MoM; Fürst Arak; buff; Fürst Arak <- Versteinerungsnegation; kick; 0; 0; 0; 0; -1; 0
trigger = ger; MoM; Fürst Arak; buff; Fürst Arak <- Schmerznegation; kick; 0; 0; 0; 0; -2; 0
trigger = ger; MoM; Fürst Arak; buff; Fürst Arak <- Schwächenegation; kick; 0; 0; 0; 0; -3; 0
trigger = ger; MoM; Fürst Arak; ability; Fürst Arak -> Versteinert; ; 0; 0; 0; 0; 1; 0
trigger = ger; MoM; Fürst Arak; ability; Fürst Arak -> Schmerz; ; 0; 0; 0; 0; 2; 0
trigger = ger; MoM; Fürst Arak; ability; Fürst Arak -> Schwäche; ; 0; 0; 0; 0; 3; 0

trigger = ger; MoM; Fauxmire; ability; Combat Begin -> Fauxmire; purple area; 30; 0; 0; 0; 0; 0
trigger = ger; MoM; Fauxmire; ability; Combat Begin -> Fauxmire; purple area; 60; 0; 0; 0; 0; 0
# trigger = ger; MoM; Fauxmire; buff; Fauxmire -> Bright Bioluminesence; range spread out; 0; 0; 0; 0; 0; 0
# trigger = ger; MoM; Fauxmire; buff; Fauxmire -> Vibrant Bioluminesence; melee spread out; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Fauxmire; ability; Fauxmire -> Sonnenstrahlen; kick; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Fauxmire; ability; Fauxmire -> Synapsenlanze; Tank CD; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Fauxmire; ability; Fauxmire -> Folgt der Nacht; Tank swap; 0; 0; 0; 0; 0; 1
trigger = ger; MoM; Fauxmire; ability; Fauxmire -> Rückkehr der Dämmerung; Tank swap; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Fauxmire; ability; Fauxmire -> Rückkehr der Dämmerung; purple area; 30; 0; 0; 0; 0; 0
